TED_source	TED_ref	Facebook-AI	Manifold	metricsystem1	metricsystem2	metricsystem3	metricsystem4	metricsystem5	Nemo	NiuTrans	Online-A	Online-B	Online-G	Online-W	Online-Y
I work on helping computers communicate about the world around us.	Моя работа — помогать компьютерам  делать сообщения об окружающем мире.	Я работаю над тем, чтобы помочь компьютерам общаться об окружающем нас мире.	Я работаю над тем, чтобы помочь компьютерам общаться о мире вокруг нас.	Я работаю над тем, чтобы помочь компьютерам общаться с окружающим миром.	Я работаю над тем, чтобы помочь компьютерам общаться с окружающим миром.	Я работаю над тем, чтобы помочь компьютерам общаться с окружающим миром.	Я работаю над тем, чтобы помочь компьютерам общаться об окружающем нас мире.	Я работаю над тем, чтобы помочь компьютерам общаться об окружающем нас мире.	Я работаю над тем, чтобы помочь компьютерам общаться о мире вокруг нас.	Я работаю над тем, чтобы помочь компьютерам общаться об окружающем нас мире.	Я работаю над тем, чтобы помочь компьютерам общаться об окружающем нас мире.	Я работаю над тем, чтобы помочь компьютерам общаться с окружающим миром.	Я работаю над тем, чтобы помочь компьютерам общаться об окружающем нас мире.	Я работаю над тем, чтобы помочь компьютерам рассказать об окружающем нас мире.	Я работаю над тем, чтобы помочь компьютерам общаться с окружающим миром.
There are a lot of ways to do this, and I like to focus on helping computers to talk about what they see and understand.	Есть много способов сделать это, но мне нравится помогать компьютерам рассказывать о том,  что они видят и понимают.	Есть много способов сделать это, и я хотел бы сосредоточиться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.	Есть много способов сделать это, и мне нравится сосредоточиться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.	Есть много способов сделать это, и мне нравится сосредоточиться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.	Есть много способов сделать это, и мне нравится сосредотачиваться на том, чтобы помочь компьютерам рассказать о том, что они видят и понимают.	Есть много способов сделать это, и мне нравится сосредотачиваться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.	Есть много способов сделать это, и мне нравится сосредоточиться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.	Есть много способов сделать это, и мне нравится сосредоточиться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.	Есть много способов сделать это, и мне нравится сосредоточиться на том, чтобы помочь компьютерам рассказать о том, что они видят и понимают.	Есть много способов сделать это, и мне нравится фокусироваться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.	Есть много способов сделать это, и мне нравится сосредотачиваться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.	Есть много способов сделать это, и мне нравится сосредотачиваться на том, чтобы помочь компьютерам рассказать о том, что они видят и понимают.	Есть много способов сделать это, и мне нравится сосредоточиться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.	Есть много способов сделать это, но я предпочитаю сосредоточиться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.	Есть много способов сделать это, и мне нравится сосредоточиться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.
Given a scene like this, a modern computer-vision algorithm can tell you that there's a woman and there's a dog.	Например, на этой картинке современный алгоритм компьютерного зрения может распознать, что это — женщина, а это — собака.	Учитывая такую сцену, современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.	Учитывая такую сцену, современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.	В такой сцене современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.	В такой сцене современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.	Учитывая такую сцену, современный алгоритм компьютерного зрения может сказать вам, что есть женщина, а есть собака.	Учитывая такую сцену, современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.	Учитывая такую сцену, современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.	Учитывая такую сцену, современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.	Учитывая такую сцену, современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.	Учитывая такую сцену, современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.	В такой сцене современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.	Учитывая такую сцену, современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.	Если взять такую сцену, современный алгоритм компьютерного зрения может сказать вам, что здесь есть женщина и собака.	Учитывая подобную сцену, современный алгоритм компьютерного зрения может сказать вам, что есть женщина и собака.
It can tell you that the woman is smiling.	Он может сказать, что женщина улыбается.	Он может сказать вам, что женщина улыбается.	Это может сказать вам, что женщина улыбается.	Это может сказать вам, что женщина улыбается.	Он может сказать вам, что женщина улыбается.	Это может сказать вам, что женщина улыбается.	Это может сказать вам, что женщина улыбается.	Он может сказать вам, что женщина улыбается.	Он может сказать вам, что женщина улыбается.	Это может сказать вам, что женщина улыбается.	Это может сказать вам, что женщина улыбается.	Он может сказать вам, что женщина улыбается.	Он может сказать вам, что женщина улыбается.	Он может сказать, что женщина улыбается.	Это может сказать вам, что женщина улыбается.
It might even be able to tell you that the dog is incredibly cute.	Он даже способен сказать,  что собака необыкновенно милая.	Возможно, он даже сможет сказать вам, что собака невероятно милая.	Он может даже сказать вам, что собака невероятно мила.	Это может даже сказать вам, что собака невероятно милая.	Он может даже сказать вам, что собака невероятно милая.	Возможно, вам даже удастся сказать, что собака невероятно милая.	Это может даже сказать вам, что собака невероятно милая.	Возможно, он даже сможет сказать вам, что собака невероятно милая.	Возможно, он даже сможет сказать вам, что собака невероятно милая.	Это может даже сказать вам, что собака невероятно милая.	Он может даже сказать вам, что собака невероятно милая.	Он может даже сказать вам, что собака невероятно милая.	Возможно, он даже сможет сказать вам, что собака невероятно симпатичная.	Возможно, он даже сможет сказать, что собака невероятно милая.	Возможно, она даже сможет сказать вам, что собака невероятно милая.
I work on this problem thinking about how humans understand and process the world.	Я работаю над этим, думая о том, как люди понимают и обрабатывают данные о мире.	Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.	Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.	Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.	Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.	Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.	Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.	Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.	Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.	Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.	Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.	Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.	Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.	Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.	Я работаю над этой проблемой, размышляя о том, как люди понимают и обрабатывают мир.
The thoughts, memories and stories that a scene like this might evoke for humans.	Какие мысли, воспоминания и истории может пробуждать в людях такая вот картинка.	Мысли, воспоминания и истории, которые подобная сцена может вызвать у людей.	Мысли, воспоминания и истории, которые подобная сцена может вызвать у людей.	Мысли, воспоминания и истории, которые подобная сцена может вызвать у людей.	Мысли, воспоминания и истории, которые может вызвать у людей подобная сцена.	Мысли, воспоминания и истории, которые подобные сцены могут вызывать у людей.	Мысли, воспоминания и истории, которые такая сцена может вызвать у людей.	Мысли, воспоминания и истории, которые подобная сцена может вызвать у людей.	Мысли, воспоминания и истории, которые такая сцена может вызвать у людей.	Мысли, воспоминания и истории, которые такая сцена может вызвать у людей.	Мысли, воспоминания и истории, которые такая сцена может вызвать у людей.	Мысли, воспоминания и истории, которые может вызвать у людей подобная сцена.	Мысли, воспоминания и истории, которые подобная сцена может вызвать у людей.	Мысли, воспоминания и истории, которые может вызвать у человека подобная сцена.	Мысли, воспоминания и истории, которые подобная сцена может вызвать у людей.
All the interconnections of related situations.	Всё, что связано с подобными ситуациями.	Все взаимосвязи связанных ситуаций.	Все взаимосвязи взаимосвязанных ситуаций.	Все взаимосвязи родственных ситуаций.	Все взаимосвязи связанных ситуаций.	Все взаимосвязи связанных ситуаций.	Все взаимосвязи связанных ситуаций.	Все взаимосвязи связанных ситуаций.	Все взаимосвязи связанных ситуаций.	Все взаимосвязи связанных ситуаций.	Все взаимосвязи связанных ситуаций.	Все взаимосвязи связанных ситуаций.	Все взаимосвязи взаимосвязанных ситуаций.	Все взаимосвязи связанных между собой ситуаций.	Все взаимосвязанные ситуации.
Maybe you've seen a dog like this one before, or you've spent time running on a beach like this one, and that further evokes thoughts and memories of a past vacation, past times to the beach, times spent running around with other dogs.	Возможно, вы видели похожую собаку раньше или проводили время,  так же бегая по пляжу, и это, в свою очередь, вызывает мысли и воспоминания о прошедшем отпуске, о времени, проведённом на пляже, или времени, когда вы бегали где-то с другими собаками.	Может быть, вы видели такую собаку раньше, или вы проводили время, бегая по пляжу, как этот, и это еще больше вызывает мысли и воспоминания о прошлом отпуске, прошлых временах на пляже, временах, проведенных в бегах с другими собаками.	Может быть, вы видели такую собаку раньше, или вы проводили время на пляже, как этот, и это еще больше навевает мысли и воспоминания о прошлом отпуске, прошлых временах на пляже, временах, проведенных в бегах с другими собаками.	Может быть, вы видели собаку, подобную этой, раньше, или вы бегали по пляжу, как эта, и это еще больше навевает мысли и воспоминания о прошлых отпусках, прошлых поездках на пляж, временах, проведенных бегать с другими собаками.	Может быть, вы видели такую собаку раньше, или вы проводили время, бегая по пляжу, подобному этому, и это еще больше пробуждает мысли и воспоминания о прошлом отпуске, прошлых посещениях пляжа, времени, проведенном в бегах с другими собаками.	Возможно, вы видели такую собаку раньше или же вы бегали по пляжу, похожему на этот, и это еще больше напоминает мысли и воспоминания о прошедших каникулах, прошлых встречах с пляжем, о бегах с другими собаками.	Может быть, вы видели собаку, подобную этой, раньше, или вы проводили время, бегая по пляжу, как этот, и это еще больше вызывает мысли и воспоминания о прошлом отпуске, прошлых поездках на пляж, времени, проведенном с другими собаками.	Может быть, вы видели такую собаку, как эта, раньше, или вы проводили время, бегая на пляже, подобном этому, и это еще больше вызывает мысли и воспоминания о прошлом отпуске, прошлых временах на пляж, времени, проведенном в беге с другими собаками.	Может быть, вы видели такую собаку раньше, или вы проводили время, бегая по пляжу, как этот, и это еще больше пробуждает мысли и воспоминания о прошлом отпуске, прошлом времени на пляже, времени, проведенном с другими собаками.	Может быть, вы видели такую собаку раньше, или вы проводили время, бегая на таком пляже, как эта, и это еще больше вызывает мысли и воспоминания о прошлом отпуске, о прошлых временах на пляже, о том, как бегали с другими собаками.	Может быть, вы видели такую собаку раньше, или вы проводили время, бегая по пляжу, как этот, и это еще больше вызывает мысли и воспоминания о прошлом отпуске, прошлых временах на пляже, времени, проведенном беготней с другими собаками.	Может быть, вы видели такую собаку раньше, или вы проводили время, бегая по пляжу, подобному этому, и это еще больше вызывает мысли и воспоминания о прошлом отпуске, прошлых посещениях пляжа, времени, проведенном в бегах с другими собаки.	Может быть, вы уже видели такую собаку раньше, или вы проводили время, бегая по пляжу, как этот, и это еще больше пробуждает мысли и воспоминания о прошлых каникулах, о прошлых поездках на пляж, о временах, проведенных с другими собаками.	Может быть, вы уже видели такую собаку, как эта, или проводили время, бегая по пляжу, как эта, и это вызывает мысли и воспоминания о прошлом отпуске, о прошлых походах на пляж, о времени, проведенном в компании других собак.	Возможно, вы уже видели такую собаку или проводили время, бегая по пляжу, подобному этому, и это еще больше вызывает мысли и воспоминания о прошлых каникулах, прошлых временах на пляже, бегах с другими собаками.
One of my guiding principles is that by helping computers to understand what it's like to have these experiences, to understand what we share and believe and feel, then we're in a great position to start evolving computer technology in a way that's complementary with our own experiences.	Один из моих главных принципов — это помочь компьютерам понять, что значит иметь подобный опыт, понять, чем мы делимся,  во что верим и что чувствуем, потому что тогда мы будем готовы начать вовлекать компьютерные технологии в процессы, дополняющие  наш собственный опыт.	Один из моих руководящих принципов заключается в том, что, помогая компьютерам понять, каково это - иметь такой опыт, понять, что мы разделяем, во что верим и что чувствуем, мы находимся в отличном положении, чтобы начать развивать компьютерные технологии таким образом, чтобы они дополняли наш собственный опыт.	Один из моих руководящих принципов заключается в том, что, помогая компьютерам понять, каково это - иметь этот опыт, понимать то, что мы разделяем, верим и чувствуем, мы можем начать развивать компьютерные технологии таким образом, чтобы это дополняло наш собственный опыт.	Один из моих руководящих принципов заключается в том, что, помогая компьютерам понять, каково это иметь этот опыт, понять, что мы разделяем, во что верим и что чувствуем, мы можем начать развивать компьютерные технологии таким образом, чтобы это дополняло наш собственный опыт.	Один из моих руководящих принципов заключается в том, что, помогая компьютерам понять, на что это похоже, получить этот опыт, понять, что мы разделяем, во что верим и что чувствуем, мы имеем прекрасную возможность начать развитие компьютерных технологий таким образом, чтобы это дополняло наш собственный опыт.	Один из моих руководящих принципов заключается в том, что, помогая компьютерам понять, каково это иметь этот опыт, понять то, что мы делимся, верим и чувствуем, мы в состоянии начать развитие компьютерных технологий таким образом, который дополняет наш собственный опыт.	Один из моих руководящих принципов заключается в том, что, помогая компьютерам понять, каково это иметь этот опыт, понять, что мы разделяем, во что верим и что чувствуем, мы можем начать развивать компьютерные технологии таким образом, чтобы это дополняло наш собственный опыт.	Один из моих руководящих принципов заключается в том, что, помогая компьютерам понять, каково это иметь этот опыт, понять, чем мы разделяем, и верим и чувствуем, тогда мы находимся в отличном положении, чтобы начать развивать компьютерные технологии таким образом, чтобы он дополнял наш собственный опыт.	Один из моих руководящих принципов заключается в том, что, помогая компьютерам понять, что такое этот опыт, понять то, что мы разделяем, верим и чувствуем, мы находимся в отличном положении, чтобы начать развивать компьютерные технологии таким образом, чтобы они дополняли наш собственный опыт.	Один из моих руководящих принципов заключается в том, что, помогая компьютерам понять, каково это - иметь этот опыт, понимать, чем мы делимся, верим и чувствуем, мы можем начать развивать компьютерные технологии таким образом, чтобы они дополняли наш собственный опыт.	Один из моих руководящих принципов заключается в том, что, помогая компьютерам понять, каково это — иметь этот опыт, понять, что мы разделяем, верим и чувствуем, мы находимся в отличном положении, чтобы начать развивать компьютерные технологии таким образом, чтобы они дополняли наш собственный опыт.	Один из моих руководящих принципов заключается в том, что, помогая компьютерам понять, на что это похоже, получить этот опыт, понять, что мы разделяем, во что верим и что чувствуем, мы можем начать развивать компьютерные технологии таким образом, чтобы они дополняли наши собственный опыт.	Один из моих руководящих принципов заключается в том, что, помогая компьютерам понять, каково это-иметь такой опыт, понять, что мы разделяем, во что верим и что чувствуем, мы получаем прекрасную возможность начать развивать компьютерные технологии таким образом, чтобы они дополняли наш собственный опыт.	Один из моих руководящих принципов заключается в том, что, помогая компьютерам понять, каково это - иметь такой опыт, понять, что мы разделяем, верим и чувствуем, тогда мы окажемся в отличном положении, чтобы начать развивать компьютерные технологии таким образом, чтобы они дополняли наш собственный опыт.	Один из моих руководящих принципов заключается в том, что, помогая компьютерам понять, каково это иметь опыт, понять, что мы разделяем, верим и чувствуем, мы можем начать развивать компьютерные технологии в дополнение к нашему собственному опыту.
