BLEURT-20_ref_A	BLEURT-20_ref_B
0.71	0.75
0.74	0.86
0.85	0.67
0.78	0.73
0.74	0.71
0.80	0.86
0.85	0.79
0.76	0.70
0.74	0.52
0.72	0.55
0.85	0.85
0.90	0.83
0.69	0.67
0.81	0.84
0.52	0.69
0.68	0.64
0.78	0.69
0.67	0.62
0.85	0.80
0.79	0.80
0.90	0.89
0.81	0.82
0.64	0.72
0.85	0.86
0.74	0.81
0.78	0.78
0.83	0.83
0.78	0.87
0.62	0.59
0.76	0.74
0.71	0.70
0.65	0.68
0.64	0.74
0.70	0.69
0.78	0.75
0.67	0.78
0.70	0.73
0.86	0.86
0.77	0.55
0.91	0.86
0.85	0.63
0.82	0.77
0.69	0.78
0.82	0.79
0.77	0.64
0.81	0.75
0.75	0.79
0.59	0.67
0.61	0.56
0.83	0.80
0.43	0.52
0.71	0.74
0.92	0.82
0.85	0.88
0.75	0.73
0.80	0.82
0.80	0.84
0.85	0.72
0.68	0.63
0.83	0.75
0.81	0.80
0.88	0.84
0.93	0.87
0.54	0.53
0.46	0.69
0.70	0.70
0.51	0.49
0.73	0.71
0.52	0.59
0.52	0.48
0.80	0.80
0.63	0.76
0.74	0.66
0.78	0.76
0.74	0.81
0.72	0.74
0.69	0.71
0.61	0.70
0.74	0.77
0.83	0.85
0.80	0.86
0.56	0.78
0.77	0.77
0.70	0.83
0.73	0.73
0.79	0.85
0.88	0.87
0.69	0.71
0.65	0.87
0.96	1.01
0.88	0.82
0.48	0.52
0.85	0.98
0.84	0.83
0.80	0.85
0.67	0.77
0.61	0.61
0.81	0.77
0.76	0.73
0.80	0.76
0.70	0.68
0.78	0.72
0.79	0.72
0.83	0.77
0.76	0.61
0.80	0.71
0.61	0.61
0.77	0.84
0.65	0.70
0.82	0.61
0.80	0.74
0.81	0.73
0.43	0.44
0.71	0.65
0.78	0.63
0.83	0.77
0.69	0.69
0.69	0.69
0.69	0.75
0.78	0.80
0.66	0.77
0.78	0.84
0.77	0.86
0.72	0.80
0.74	0.74
0.71	0.82
0.65	0.73
0.80	0.71
0.74	0.88
0.86	0.94
0.78	0.77
0.89	0.91
0.79	0.83
0.82	0.94
0.64	0.73
0.92	0.94
0.79	0.83
0.89	0.91
0.72	0.71
0.80	0.94
0.83	0.84
0.81	0.85
0.69	0.86
0.86	0.85
0.77	0.81
0.77	0.76
0.76	0.69
0.78	0.87
0.76	0.69
0.63	0.56
0.83	0.72
0.74	0.68
0.68	0.72
0.78	0.78
0.69	0.69
0.75	0.76
0.78	0.71
0.76	0.76
0.89	0.82
0.75	0.73
0.68	0.47
0.94	0.91
0.84	0.75
0.72	0.69
0.82	0.77
0.83	0.80
0.76	0.61
0.43	0.43
0.84	0.76
0.92	0.90
0.74	0.85
0.80	0.71
0.81	0.99
